sample_id,target_class,class_label,image_path,rssi_dbm,snr_db,carrier_freq_ghz,bandwidth_mhz,doppler_shift_khz,phase_variance_rad,path_loss_db,spectral_kurtosis,papr_db,edge_density,aspect_ratio,spatial_entropy,color_moment_r_mean,color_moment_g_mean,color_moment_b_mean,color_moment_r_std,color_moment_g_std,color_moment_b_std,texture_contrast,texture_homogeneity,texture_energy
18,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0018_uav_drone.png,-63.89,18.33,5.762,40.0,5.519,0.4379,82.08,5.307,7.57,0.682,1.08,6.38,174.39,207.3,178.49,47.23,46.1,61.14,0.6392,0.4128,0.314
19,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0019_uav_drone.png,-73.68,14.4,5.784,40.0,3.195,0.267,84.17,5.828,9.66,0.7394,1.197,6.08,158.02,173.9,185.77,43.77,38.42,50.05,0.7114,0.5021,0.3667
20,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0020_uav_drone.png,-75.49,12.89,2.407,20.0,7.094,0.4204,82.28,4.705,9.25,0.5946,1.003,5.848,167.72,185.67,173.13,32.8,52.67,49.99,0.6452,0.6041,0.3569
21,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0021_uav_drone.png,-55.51,16.77,5.808,20.0,6.411,0.5391,87.27,4.723,8.09,0.5415,1.193,6.154,157.94,178.0,157.44,39.08,53.01,53.89,0.7531,0.4788,0.3978
22,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0022_uav_drone.png,-63.55,9.84,5.77,40.0,6.247,0.3156,86.02,5.603,7.37,0.6389,0.893,5.775,174.33,160.21,197.56,38.82,40.24,47.36,0.6165,0.4357,0.2781
23,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0023_uav_drone.png,-51.19,16.64,2.399,40.0,3.72,0.4881,78.28,4.39,9.2,0.6362,0.873,6.75,155.34,165.6,157.12,47.11,39.07,48.17,0.8169,0.4022,0.3548
24,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0024_uav_drone.png,-53.62,6.67,2.406,40.0,4.213,0.3683,75.51,7.056,9.56,0.6794,1.198,5.831,147.08,197.85,198.08,35.78,43.86,42.75,0.5817,0.5541,0.4646
25,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0025_uav_drone.png,-69.69,18.75,5.788,40.0,3.289,0.3894,79.52,4.289,7.85,0.4798,1.102,5.956,158.73,178.56,194.1,37.66,41.8,51.17,0.7408,0.6435,0.4472
26,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0026_uav_drone.png,-56.87,13.45,5.813,40.0,3.822,0.4408,76.57,5.902,6.51,0.6747,0.875,5.539,160.71,162.09,184.23,48.04,41.54,53.01,0.607,0.5224,0.4365
27,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0027_uav_drone.png,-75.59,13.31,5.789,20.0,6.606,0.4336,82.54,5.737,10.4,0.6704,1.034,5.562,168.82,170.22,185.21,45.26,51.21,34.75,0.7561,0.4584,0.4069
28,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0028_uav_drone.png,-63.38,21.7,5.805,20.0,5.767,0.4215,92.06,5.56,8.24,0.7464,0.755,5.894,171.56,152.82,207.16,44.03,42.51,51.8,0.9471,0.4945,0.3649
29,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0029_uav_drone.png,-64.53,13.1,2.39,40.0,5.265,0.5408,84.41,4.818,9.49,0.783,0.967,5.629,151.71,189.46,204.6,50.32,51.05,38.21,0.7481,0.3953,0.3192
30,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0030_uav_drone.png,-61.06,19.84,5.766,20.0,4.074,0.4424,75.25,7.89,8.66,0.6888,1.107,5.992,163.36,163.14,197.07,53.29,53.07,57.56,0.6689,0.4008,0.3425
31,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0031_uav_drone.png,-61.69,20.88,5.768,20.0,6.499,0.5057,78.5,6.137,5.72,0.6616,1.095,6.308,147.72,152.46,186.09,35.25,44.11,47.96,0.5881,0.5444,0.3406
32,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0032_uav_drone.png,-56.06,9.12,5.787,20.0,4.014,0.3985,75.36,8.031,8.57,0.6811,1.017,5.879,157.83,166.4,181.8,41.8,41.74,43.72,0.7306,0.4596,0.4402
33,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0033_uav_drone.png,-76.58,20.87,5.832,40.0,4.778,0.4432,80.47,5.035,9.13,0.7467,0.861,5.655,158.96,182.28,178.41,41.46,45.18,43.77,0.6472,0.4879,0.3422
34,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0034_uav_drone.png,-59.25,12.29,2.417,40.0,5.548,0.4769,84.67,4.803,9.89,0.5935,1.094,6.037,155.36,179.89,171.23,47.54,43.89,44.86,0.8249,0.4237,0.2655
35,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0035_uav_drone.png,-70.56,18.92,2.424,20.0,3.996,0.2797,78.73,6.269,8.46,0.6531,1.182,6.662,170.08,165.66,183.73,34.27,45.6,38.22,0.7752,0.6404,0.3931
36,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0036_uav_drone.png,-64.58,18.61,5.792,20.0,4.025,0.4405,87.9,7.032,9.72,0.5327,0.866,5.55,160.39,182.76,179.11,43.12,40.47,44.33,0.5793,0.4061,0.2689
37,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0037_uav_drone.png,-67.37,20.71,2.397,40.0,5.466,0.4276,83.07,5.868,6.68,0.6796,0.941,5.124,174.81,169.72,193.64,43.08,42.99,59.85,0.7153,0.3554,0.326
38,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0038_uav_drone.png,-59.25,18.63,5.794,20.0,4.009,0.414,85.72,5.395,6.9,0.7104,1.093,6.024,176.21,187.51,196.89,41.58,35.03,50.58,0.7408,0.5017,0.2734
39,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0039_uav_drone.png,-67.95,20.71,5.796,20.0,3.643,0.5103,81.52,4.688,9.56,0.5676,1.08,5.383,179.17,171.08,192.02,44.48,33.42,44.1,0.8244,0.5494,0.367
40,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0040_uav_drone.png,-69.42,18.84,2.405,20.0,4.776,0.4266,88.39,4.631,10.19,0.8639,0.976,5.622,181.8,198.69,182.16,39.48,43.31,39.93,0.6281,0.3997,0.3039
41,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0041_uav_drone.png,-62.19,17.44,2.381,20.0,4.47,0.4067,77.05,7.741,7.7,0.7734,1.215,5.172,161.11,167.24,181.02,45.33,41.26,45.02,0.7032,0.4501,0.2796
42,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0042_uav_drone.png,-57.62,20.69,5.798,20.0,5.934,0.4362,72.91,6.902,10.66,0.631,0.973,5.914,165.02,184.88,220.15,40.94,40.21,39.72,0.6469,0.4773,0.4577
43,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0043_uav_drone.png,-64.85,17.4,2.418,20.0,4.843,0.5259,75.21,3.397,9.06,0.6992,1.057,6.173,166.33,181.08,200.73,45.01,50.14,54.05,0.8732,0.4281,0.3788
44,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0044_uav_drone.png,-64.04,13.17,5.831,40.0,5.212,0.4353,82.28,3.704,9.4,0.7316,1.28,5.677,163.29,178.74,213.66,41.43,46.67,51.65,0.7387,0.4443,0.3616
45,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0045_uav_drone.png,-56.1,12.39,5.795,40.0,7.016,0.3816,82.77,5.604,7.87,0.6695,0.776,6.093,176.2,149.49,183.9,34.62,43.93,51.89,0.8187,0.5697,0.4286
46,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0046_uav_drone.png,-63.22,11.91,2.363,40.0,4.12,0.4007,84.11,3.823,10.23,0.6734,1.154,5.937,166.85,183.55,196.72,45.86,52.97,49.18,0.7909,0.4728,0.4364
47,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0047_uav_drone.png,-65.72,23.7,5.789,40.0,4.243,0.2927,85.39,4.502,9.69,0.6578,1.017,5.731,149.68,212.08,182.56,48.14,38.44,50.23,0.7679,0.4781,0.3157
48,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0048_uav_drone.png,-63.45,14.89,2.394,40.0,4.857,0.5403,87.26,4.957,8.53,0.6967,0.775,5.701,149.77,159.98,185.78,52.79,48.85,44.57,0.7773,0.5919,0.4055
49,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0049_uav_drone.png,-61.67,13.91,5.825,20.0,5.471,0.4292,87.7,4.982,10.08,0.7121,1.282,5.652,163.07,159.53,182.06,45.71,51.78,65.79,0.7103,0.4053,0.3952
50,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0050_uav_drone.png,-68.2,18.76,2.392,20.0,3.106,0.3994,71.99,5.639,9.28,0.6413,1.209,5.31,138.03,178.37,205.71,52.1,42.25,54.47,0.7161,0.4662,0.403
51,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0051_uav_drone.png,-58.41,10.19,5.774,40.0,2.941,0.5301,86.66,5.642,7.68,0.7059,0.985,5.14,159.24,172.65,205.94,28.59,46.41,41.07,0.7519,0.5099,0.3448
52,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0052_uav_drone.png,-57.56,11.52,2.434,40.0,6.645,0.4162,84.86,5.285,6.96,0.7597,0.961,5.177,153.58,197.51,202.75,39.91,42.9,46.07,0.9277,0.5106,0.3758
53,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0053_uav_drone.png,-56.33,17.46,5.79,40.0,4.853,0.4239,77.87,5.056,7.26,0.6648,1.074,5.564,160.14,177.09,196.79,41.2,51.52,35.39,1.0,0.4103,0.3742
54,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0054_uav_drone.png,-67.16,19.08,2.392,20.0,4.287,0.3701,93.48,4.99,8.76,0.7496,1.079,5.86,165.47,211.05,189.14,43.21,51.3,54.63,0.8387,0.5311,0.2814
55,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0055_uav_drone.png,-53.02,11.91,5.78,40.0,4.272,0.5004,80.49,5.575,10.22,0.7252,1.063,5.126,145.99,190.7,198.55,46.33,48.81,55.74,0.6939,0.4896,0.2883
56,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0056_uav_drone.png,-69.03,9.93,2.417,20.0,2.212,0.3689,74.06,7.006,9.71,0.6249,1.29,6.193,155.13,137.51,224.36,33.66,35.13,54.14,0.964,0.5907,0.3838
57,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0057_uav_drone.png,-58.73,19.91,2.426,20.0,4.904,0.3998,84.35,4.992,9.16,0.6773,0.906,5.452,145.24,189.56,180.74,30.53,47.38,57.09,0.7973,0.4317,0.2548
58,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0058_uav_drone.png,-62.74,15.86,2.407,20.0,5.274,0.3719,83.92,3.448,9.03,0.6784,1.086,5.89,180.46,176.88,183.56,42.73,48.26,48.29,0.7241,0.4238,0.3102
59,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0059_uav_drone.png,-69.71,23.5,2.404,20.0,5.118,0.4798,77.8,6.083,7.83,0.8256,0.921,5.896,148.27,208.34,171.43,45.15,40.59,45.88,0.7654,0.578,0.4474
60,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0060_uav_drone.png,-70.45,17.57,5.789,20.0,4.996,0.3557,91.83,7.045,7.84,0.7255,1.215,5.648,156.95,166.27,174.78,38.1,37.66,48.2,0.643,0.4987,0.2566
61,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0061_uav_drone.png,-60.18,19.83,5.795,40.0,2.954,0.4756,93.68,4.913,10.57,0.6877,0.938,5.404,169.44,161.28,191.22,51.5,43.16,55.88,0.5985,0.4373,0.2656
62,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0062_uav_drone.png,-61.6,19.62,2.387,40.0,5.128,0.4354,80.15,5.347,8.32,0.7366,1.135,5.486,140.03,147.46,197.62,35.38,32.08,50.33,0.9693,0.4795,0.4003
63,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0063_uav_drone.png,-61.55,16.1,2.407,40.0,7.202,0.4655,85.6,4.642,8.22,0.585,0.978,5.385,179.7,175.76,192.56,40.65,46.19,62.79,0.69,0.428,0.3818
64,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0064_uav_drone.png,-75.89,16.76,2.384,20.0,5.222,0.4245,85.18,5.122,9.08,0.6852,0.783,5.424,157.84,156.85,199.0,51.18,52.31,46.72,0.8691,0.4919,0.3298
65,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0065_uav_drone.png,-65.37,15.29,5.819,40.0,6.626,0.2973,87.47,5.749,11.25,0.5965,0.995,5.749,174.84,167.39,172.43,49.25,43.1,53.27,0.7962,0.4776,0.3395
66,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0066_uav_drone.png,-64.15,16.44,2.435,40.0,5.753,0.3017,83.1,5.183,9.2,0.6896,0.903,6.279,157.62,174.59,176.0,39.34,39.69,46.96,0.8912,0.3702,0.2532
67,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0067_uav_drone.png,-53.91,15.66,2.409,40.0,5.0,0.2921,79.56,5.103,9.61,0.7928,1.166,5.911,171.99,165.39,192.53,34.85,45.38,48.53,0.8922,0.4617,0.3554
68,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0068_uav_drone.png,-60.7,14.68,2.398,20.0,4.913,0.3122,76.17,6.52,7.71,0.5962,1.084,6.274,170.78,189.94,178.65,33.47,54.01,46.06,0.6949,0.5863,0.3834
69,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0069_uav_drone.png,-59.49,25.16,5.794,40.0,5.624,0.5364,92.8,6.02,9.21,0.6117,1.063,6.023,156.84,166.08,170.78,31.57,33.31,51.48,0.7348,0.4413,0.3301
70,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0070_uav_drone.png,-60.84,15.84,5.815,40.0,4.368,0.4066,83.7,4.926,10.43,0.7193,1.108,6.065,177.6,177.72,170.55,44.4,41.09,44.83,0.7786,0.5791,0.3513
71,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0071_uav_drone.png,-60.3,23.31,2.413,40.0,6.522,0.5649,85.74,5.562,9.58,0.6302,1.077,5.7,159.71,187.43,176.1,49.73,42.46,49.56,0.5799,0.5376,0.4368
72,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0072_uav_drone.png,-64.83,12.06,2.433,40.0,7.95,0.3572,85.89,5.067,9.0,0.609,0.968,6.089,154.41,200.9,184.01,43.35,50.6,39.49,0.5439,0.3579,0.4258
73,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0073_uav_drone.png,-65.04,26.73,5.789,40.0,5.164,0.5689,93.32,6.994,9.65,0.63,1.119,5.797,179.69,191.74,180.26,47.69,49.09,31.36,0.8001,0.4455,0.2968
74,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0074_uav_drone.png,-66.64,15.96,5.815,40.0,5.859,0.3381,93.12,6.543,9.2,0.6619,0.905,5.651,176.33,203.27,213.15,39.07,38.28,48.85,0.5432,0.5059,0.3411
75,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0075_uav_drone.png,-64.56,10.12,2.386,40.0,2.132,0.4046,90.34,3.977,8.44,0.6965,0.975,4.651,157.59,188.5,201.67,44.13,38.41,50.37,0.6627,0.5083,0.3573
76,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0076_uav_drone.png,-67.37,12.93,2.418,40.0,3.969,0.4931,77.18,6.842,8.17,0.6783,0.93,4.83,173.26,186.05,185.78,42.4,48.1,38.62,0.6671,0.5435,0.2747
77,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0077_uav_drone.png,-60.39,11.07,2.406,40.0,4.642,0.3553,80.11,4.731,7.85,0.7306,0.966,6.207,199.95,170.57,192.28,44.28,55.87,47.5,0.6371,0.3787,0.3465
78,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0078_uav_drone.png,-64.47,24.54,5.833,40.0,4.487,0.4217,77.63,4.999,10.15,0.6283,0.924,5.607,145.7,176.84,214.37,43.94,43.49,46.25,0.5637,0.5506,0.3453
79,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0079_uav_drone.png,-62.99,29.27,5.784,20.0,2.244,0.5248,78.59,3.186,8.74,0.709,1.184,6.275,168.05,186.48,187.12,34.69,45.71,53.9,0.7856,0.5467,0.3243
